topic,recv_ns,a,b,c
odom,1787282685264827882,-4.8370748887398315e-05,0.00048606694561198043,-0.00013185642629382255
wheel,1787282685335135139,0.0,0.0,0.0
odom,1787282685364525129,-5.099323038363255e-05,0.00048538487529555403,-7.760727625279949e-05
wheel,1787282685456020088,0.0,0.0012311729369685054,0.0006155864684842527
odom,1787282685464838040,-5.67940459041864e-06,0.0004971501186305735,0.00021750259850820345
wheel,1787282685556063567,0.0,0.0,0.0
odom,1787282685564588531,-1.6657980961353576e-06,0.0004982084717667537,0.00013440392966388386
wheel,1787282685655507541,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282685665482160,-1.0930468023275455e-05,0.0004958044349664884,1.7940831342689684e-05
wheel,1787282685755635131,0.0,0.0,0.0
odom,1787282685764737832,-1.0666424030428963e-05,0.0004958743548578653,1.247123340117008e-05
wheel,1787282685835252149,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282685864630951,1.2243809492580875e-06,0.0004989711122909943,7.455625766555444e-05
wheel,1787282685956065128,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282685964576538,-9.148328912776455e-06,0.0004962723522811593,-1.894081721592143e-05
wheel,1787282686035242060,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282686065428748,2.160154902518336e-06,0.0004992168845448938,5.518582046436056e-05
wheel,1787282686135469378,-0.0012311729369685054,0.0,-0.0006155864684842527
odom,1787282686165463288,-4.374117400769999e-05,0.0004872635000762521,-0.0002275064579455757
wheel,1787282686235699767,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282686265633811,-3.6390359837679885e-05,0.0004891716749033237,-7.151285581617669e-05
wheel,1787282686335166178,0.0,0.0,0.0
odom,1787282686364403266,-3.7814320648674646e-05,0.0004887992168135585,-4.2059932152168156e-05
wheel,1787282686435344311,-0.0006155864684842527,0.0,-0.00030779323424212635
odom,1787282686465276572,-6.212659471881247e-05,0.0004824583748264616,-0.00015518866560333385
wheel,1787282686555868582,0.0,0.0,0.0
odom,1787282686564438095,-6.514476902488159e-05,0.0004816677168971556,-9.275802240682932e-05
wheel,1787282686635321361,0.0,0.0,0.0
odom,1787282686665097135,-6.698564192574232e-05,0.0004811863199886114,-5.468575118616994e-05
wheel,1787282686734967186,0.0,0.0,0.0
odom,1787282686764393138,-6.810625366213893e-05,0.00048089372933804046,-3.151309925503506e-05
wheel,1787282686834496255,-0.0018467593472450972,0.0033857254311442375,0.0007694830419495702
odom,1787282686864261220,-1.0168161903427373e-05,0.0004959810032747769,0.0003101718206030544
wheel,1787282686934375727,0.0,0.0,0.0
odom,1787282686965042287,-4.3527063507971395e-06,0.0004975300658211974,0.00018976046458796613
wheel,1787282687035260724,0.0,0.0,0.0
odom,1787282687064874560,-7.919894822942973e-07,0.0004984719711012191,0.00011606949295117711
wheel,1787282687155862659,0.0,0.0,0.0
odom,1787282687165060551,1.3878886600746742e-06,0.0004990454904091831,7.097259670482815e-05
wheel,1787282687235192601,0.0,0.0,0.0
odom,1787282687265138621,2.72225940029229e-06,0.00049939499990819,4.337591635492397e-05
wheel,1787282687335243640,0.0,0.0,0.0
odom,1787282687365162984,3.5389714975743995e-06,0.0004996080985776244,2.6489673864880417e-05
wheel,1787282687435190940,0.0,0.0,0.0
odom,1787282687465436334,4.0387740757487494e-06,0.0004997380545732702,1.6158324792896595e-05
wheel,1787282687535026227,0.0,0.0,0.0
odom,1787282687564332314,4.344577252307556e-06,0.0004998173064299405,9.838558404581028e-06
wheel,1787282687635297472,-0.00030779323424212635,0.0006155864684842527,0.00015389661712106317
odom,1787282687664968957,1.624861480067368e-05,0.0005029420878922693,7.149847521699486e-05
wheel,1787282687735333878,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282687765121568,2.9326963507581916e-05,0.0005063731772697839,0.00010887991820408648
wheel,1787282687835133013,0.0,0.0,0.0
odom,1787282687865258940,3.140473500345152e-05,0.0005069201215770915,6.589950227646623e-05
wheel,1787282687934566208,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282687964958893,5.610774672127422e-05,0.0005134079182038268,0.00017068908142743195
wheel,1787282688035566551,0.0,0.0,0.0
odom,1787282688065118956,5.9375063464982584e-05,0.0005142690460909562,0.0001030984164312178
wheel,1787282688135635333,0.0,0.0,0.0
odom,1787282688165197797,6.13709461205126e-05,0.0005147941104820437,6.181532179305172e-05
wheel,1787282688235423618,0.0,0.0,0.0
odom,1787282688265198670,6.258880165014772e-05,0.0005151139768793329,3.662807449623068e-05
wheel,1787282688335171562,0.0,0.0,0.0
odom,1787282688364698238,6.3330654413094e-05,0.000515308528071073,2.1287098086191172e-05
wheel,1787282688435295632,0.0,0.0,0.0
odom,1787282688464140642,6.378136713782697e-05,0.0005154265518849727,1.196775578468914e-05
wheel,1787282688535493547,0.0,0.0,0.0
odom,1787282688565137757,6.405408266000245e-05,0.0005154978547075111,6.32953226004735e-06
wheel,1787282688635450831,-0.0006155864684842527,0.0006155864684842527,0.0
odom,1787282688665436844,6.421669494316173e-05,0.0005155457777692155,2.9402241296042026e-06
wheel,1787282688755886293,-0.00030779323424212635,0.0006155864684842527,0.00015389661712106317
odom,1787282688765188998,7.602937688920791e-05,0.0005186533978183593,6.64482009815567e-05
wheel,1787282688835209244,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282688864485701,6.561707652273458e-05,0.0005159170342602052,-2.6037472958770884e-05
wheel,1787282688955693267,0.0,0.0,0.0
odom,1787282688964813029,6.516542070357662e-05,0.0005157960239064728,-1.6684680368025534e-05
wheel,1787282689055738317,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282689064521281,5.3171924041733785e-05,0.0005126383736429162,-7.64388902787607e-05
wheel,1787282689155659109,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282689164523034,6.346766086632886e-05,0.0005153469106266848,1.8441714206917425e-05
wheel,1787282689254907266,-0.0009233796736225486,0.0,-0.0004616898368112743
odom,1787282689264329965,2.8701599980388765e-05,0.0005061917322336805,-0.0001859278359667374
wheel,1787282689355536784,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282689364840611,3.6906133673382925e-05,0.000508349093830096,-4.77922346751593e-05
wheel,1787282689455892738,0.0,0.0,0.0
odom,1787282689465019242,3.600554967978091e-05,0.0005081114060428511,-2.9162315011372615e-05
wheel,1787282689555490813,-0.0012311729369685054,0.0,-0.0006155864684842527
odom,1787282689564586774,-1.1399118890988855e-05,0.0004956140486381192,-0.0002798643451148082
wheel,1787282689655544578,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282689664819278,6.708057468379892e-06,0.0005003763842718169,-3.8721686380743174e-05
wheel,1787282689735076326,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282689766560818,-5.764875546024453e-06,0.0004970852326278826,-8.852096656687038e-05
wheel,1787282689835187553,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282689865201308,4.237714560822239e-06,0.0004997271813468794,1.2365573764939824e-05
wheel,1787282689934375163,0.0,0.0,0.0
odom,1787282689964800676,4.440336994395898e-06,0.000499782545242423,8.16442552172608e-06
wheel,1787282690035511681,-0.0015389662003144622,0.0012311729369685054,-0.0001538966316729784
odom,1787282690064914468,-7.142972077186611e-06,0.0004967127139073851,-5.9968321384610364e-05
wheel,1787282690135249061,0.00030779323424212635,0.0,0.00015389661712106317
